네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이코스케이스"
"2017-08-01",23
"2017-08-02",28
"2017-08-03",32
"2017-08-04",22
"2017-08-05",23
"2017-08-06",25
"2017-08-07",27
"2017-08-08",21
"2017-08-09",29
"2017-08-10",38
"2017-08-11",67
"2017-08-12",35
"2017-08-13",39
"2017-08-14",45
"2017-08-15",16
"2017-08-16",15
"2017-08-17",8
"2017-08-18",7
"2017-08-19",8
"2017-08-20",11
"2017-08-21",11
"2017-08-22",12
"2017-08-23",13
"2017-08-24",16
"2017-08-25",14
"2017-08-26",14
"2017-08-27",20
"2017-08-28",22
"2017-08-29",29
"2017-08-30",35
"2017-08-31",42
"2017-09-01",35
"2017-09-02",24
"2017-09-03",27
"2017-09-04",35
"2017-09-05",36
"2017-09-06",33
"2017-09-07",34
"2017-09-08",36
"2017-09-09",33
"2017-09-10",50
"2017-09-11",58
"2017-09-12",56
"2017-09-13",42
"2017-09-14",37
"2017-09-15",43
"2017-09-16",39
"2017-09-17",41
"2017-09-18",50
"2017-09-19",53
"2017-09-20",55
"2017-09-21",55
"2017-09-22",58
"2017-09-23",50
"2017-09-24",53
"2017-09-25",68
"2017-09-26",64
"2017-09-27",60
"2017-09-28",62
"2017-09-29",48
"2017-09-30",45
"2017-10-01",42
"2017-10-02",48
"2017-10-03",42
"2017-10-04",39
"2017-10-05",52
"2017-10-06",51
"2017-10-07",55
"2017-10-08",57
"2017-10-09",80
"2017-10-10",100
"2017-10-11",78
"2017-10-12",83
"2017-10-13",57
"2017-10-14",46
"2017-10-15",60
"2017-10-16",78
"2017-10-17",73
"2017-10-18",70
"2017-10-19",71
"2017-10-20",77
"2017-10-21",53
"2017-10-22",52
"2017-10-23",64
"2017-10-24",62
"2017-10-25",59
"2017-10-26",67
"2017-10-27",56
"2017-10-28",46
"2017-10-29",47
"2017-10-30",56
"2017-10-31",56
"2017-11-01",58
"2017-11-02",60
"2017-11-03",50
"2017-11-04",43
"2017-11-05",45
"2017-11-06",50
"2017-11-07",55
"2017-11-08",51
"2017-11-09",52
"2017-11-10",42
"2017-11-11",37
"2017-11-12",40
"2017-11-13",48
"2017-11-14",48
"2017-11-15",44
"2017-11-16",44
"2017-11-17",39
"2017-11-18",35
"2017-11-19",44
"2017-11-20",48
"2017-11-21",43
"2017-11-22",45
"2017-11-23",39
"2017-11-24",36
"2017-11-25",33
"2017-11-26",34
"2017-11-27",38
"2017-11-28",40
"2017-11-29",44
"2017-11-30",40
"2017-12-01",40
"2017-12-02",41
"2017-12-03",35
"2017-12-04",47
"2017-12-05",43
"2017-12-06",52
"2017-12-07",52
"2017-12-08",51
"2017-12-09",50
"2017-12-10",46
"2017-12-11",46
"2017-12-12",43
"2017-12-13",46
"2017-12-14",44
"2017-12-15",39
"2017-12-16",37
"2017-12-17",41
"2017-12-18",44
"2017-12-19",41
"2017-12-20",38
"2017-12-21",39
"2017-12-22",32
"2017-12-23",31
"2017-12-24",30
"2017-12-25",34
"2017-12-26",44
"2017-12-27",40
"2017-12-28",40
"2017-12-29",38
"2017-12-30",35
"2017-12-31",33
"2018-01-01",30
"2018-01-02",46
"2018-01-03",42
"2018-01-04",44
"2018-01-05",37
"2018-01-06",39
"2018-01-07",43
"2018-01-08",51
"2018-01-09",45
"2018-01-10",46
"2018-01-11",49
"2018-01-12",39
"2018-01-13",35
"2018-01-14",41
"2018-01-15",41
"2018-01-16",45
"2018-01-17",49
"2018-01-18",50
"2018-01-19",42
"2018-01-20",38
"2018-01-21",42
"2018-01-22",48
"2018-01-23",44
"2018-01-24",46
"2018-01-25",35
"2018-01-26",37
"2018-01-27",32
"2018-01-28",41
"2018-01-29",41
"2018-01-30",43
"2018-01-31",37
"2018-02-01",41
"2018-02-02",41
"2018-02-03",33
"2018-02-04",39
"2018-02-05",44
"2018-02-06",39
"2018-02-07",41
"2018-02-08",42
"2018-02-09",36
"2018-02-10",35
"2018-02-11",42
"2018-02-12",37
"2018-02-13",38
"2018-02-14",35
"2018-02-15",30
"2018-02-16",27
"2018-02-17",40
"2018-02-18",42
"2018-02-19",52
"2018-02-20",49
"2018-02-21",52
"2018-02-22",50
"2018-02-23",47
"2018-02-24",36
"2018-02-25",39
"2018-02-26",54
"2018-02-27",44
"2018-02-28",42
"2018-03-01",36
"2018-03-02",36
"2018-03-03",30
"2018-03-04",41
"2018-03-05",42
"2018-03-06",41
"2018-03-07",37
"2018-03-08",38
"2018-03-09",37
"2018-03-10",29
"2018-03-11",29
"2018-03-12",34
"2018-03-13",37
"2018-03-14",31
"2018-03-15",36
"2018-03-16",30
"2018-03-17",25
"2018-03-18",32
"2018-03-19",30
"2018-03-20",27
"2018-03-21",33
"2018-03-22",25
"2018-03-23",20
"2018-03-24",20
"2018-03-25",26
"2018-03-26",24
"2018-03-27",25
"2018-03-28",24
"2018-03-29",25
"2018-03-30",19
"2018-03-31",16
"2018-04-01",25
"2018-04-02",25
"2018-04-03",25
"2018-04-04",27
"2018-04-05",20
"2018-04-06",18
"2018-04-07",20
"2018-04-08",24
"2018-04-09",20
"2018-04-10",23
"2018-04-11",26
"2018-04-12",23
"2018-04-13",17
"2018-04-14",20
"2018-04-15",16
"2018-04-16",20
"2018-04-17",20
"2018-04-18",20
"2018-04-19",21
